iter	Passed	Remaining
1250	374691	74578
1251	374996	74280
1252	375304	73982
1253	375605	73683
1254	375913	73385
1255	376230	73089
1256	376543	72792
1257	376847	72493
1258	377151	72195
1259	377469	71898
1260	377820	71609
1261	378129	71311
1262	378442	71014
1263	378769	70719
1264	379075	70421
1265	379380	70122
1266	379686	69824
1267	380002	69527
1268	380308	69228
1269	380616	68930
1270	380928	68633
1271	381251	68337
1272	381558	68039
1273	381923	67750
1274	382229	67452
1275	382532	67152
1276	382846	66855
1277	383157	66557
1278	383483	66262
1279	383791	65964
1280	384105	65666
1281	384419	65369
1282	384727	65070
1283	385030	64771
1284	385330	64471
1285	385641	64173
1286	386001	63883
1287	386332	63588
1288	386630	63288
1289	386933	62989
1290	387233	62689
1291	387533	62389
1292	387848	62091
1293	388161	61793
1294	388468	61494
1295	388766	61194
1296	389070	60895
1297	389370	60595
1298	389672	60295
1299	389984	59997
1300	390339	59705
1301	390669	59410
1302	390963	59109
1303	391278	58811
1304	391589	58513
1305	391892	58213
1306	392201	57914
1307	392505	57615
1308	392815	57316
1309	393140	57020
1310	393441	56720
1311	393751	56421
1312	394083	56126
1313	394385	55826
1314	394743	55534
1315	395060	55236
1316	395387	54939
1317	395695	54640
1318	395995	54340
1319	396307	54041
1320	396615	53742
1321	396914	53442
1322	397224	53143
1323	397533	52844
1324	397860	52547
1325	398162	52247
1326	398474	51948
1327	398834	51656
1328	399143	51357
1329	399443	51056
1330	399750	50757
1331	400068	50459
1332	400377	50159
1333	400675	49859
1334	400988	49560
1335	401303	49261
1336	401606	48961
1337	401905	48661
1338	402209	48361
1339	402538	48064
1340	402838	47763
1341	403203	47471
1342	403506	47170
1343	403807	46870
1344	404106	46569
1345	404414	46270
1346	404720	45970
1347	405034	45671
1348	405336	45371
1349	405633	45070
1350	405930	44769
1351	406240	44470
1352	406539	44169
1353	406842	43869
1354	407174	43572
1355	407528	43277
1356	407831	42977
1357	408146	42678
1358	408448	42377
1359	408762	42078
1360	409065	41778
1361	409373	41478
1362	409714	41181
1363	410019	40881
1364	410336	40582
1365	410643	40282
1366	410942	39982
1367	411244	39681
1368	411612	39387
1369	411944	39089
1370	412259	38790
1371	412576	38491
1372	412881	38190
1373	413180	37889
1374	413478	37588
1375	413788	37289
1376	414103	36989
1377	414421	36690
1378	414720	36389
1379	415028	36089
1380	415339	35789
1381	415662	35490
1382	416002	35193
1383	416312	34893
1384	416628	34593
1385	416935	34293
1386	417238	33992
1387	417547	33692
1388	417849	33391
1389	418158	33091
1390	418457	32790
1391	418768	32490
1392	419089	32191
1393	419393	31890
1394	419694	31589
1395	420049	31293
1396	420350	30992
1397	420655	30691
1398	420965	30391
1399	421274	30091
1400	421594	29791
1401	421896	29490
1402	422204	29190
1403	422508	28889
1404	422810	28588
1405	423114	28287
1406	423422	27987
1407	423734	27687
1408	424044	27386
1409	424400	27089
1410	424706	26788
1411	425014	26488
1412	425313	26187
1413	425614	25886
1414	425917	25585
1415	426249	25285
1416	426549	24984
1417	426854	24684
1418	427160	24383
1419	427459	24082
1420	427775	23782
1421	428091	23481
1422	428428	23182
1423	428791	22884
1424	429097	22584
1425	429404	22283
1426	429703	21982
1427	429998	21680
1428	430311	21380
1429	430614	21079
1430	430932	20778
1431	431243	20478
1432	431563	20177
1433	431883	19877
1434	432194	19576
1435	432509	19276
1436	432866	18977
1437	433194	18677
1438	433522	18377
1439	433834	18076
1440	434142	17775
1441	434449	17474
1442	434769	17173
1443	435076	16872
1444	435395	16572
1445	435718	16271
1446	436022	15970
1447	436310	15668
1448	436598	15366
1449	436912	15065
1450	437252	14765
1451	437550	14464
1452	437866	14163
1453	438172	13862
1454	438473	13561
1455	438778	13259
1456	439073	12958
1457	439358	12656
1458	439654	12354
1459	439956	12053
1460	440271	11752
1461	440607	11452
1462	440917	11151
1463	441253	10850
1464	441587	10549
1465	441884	10248
1466	442192	9947
1467	442504	9645
1468	442827	9344
1469	443130	9043
1470	443428	8741
1471	443732	8440
1472	444033	8139
1473	444350	7837
1474	444652	7536
1475	444958	7235
1476	445276	6933
1477	445631	6633
1478	445944	6331
1479	446255	6030
1480	446559	5728
1481	446861	5427
1482	447161	5125
1483	447478	4824
1484	447790	4523
1485	448089	4221
1486	448392	3920
1487	448697	3618
1488	448997	3316
1489	449308	3015
1490	449618	2713
1491	450007	2412
1492	450314	2111
1493	450617	1809
1494	450922	1508
1495	451224	1206
1496	451535	904
1497	451836	603
1498	452135	301
1499	452464	0
